ID	Timestamp	Product	Type	Event	Status	Resource
12526	2019/04/18 07:10:23.7027	.MUs.Robot:138	Robot	Arrival	Start	.Models.JobShop.Source
12527	2019/04/18 07:10:23.7027	.MUs.Robot:138	Robot	Arrival	Complete	.Models.JobShop.Source
12528	2019/04/18 07:10:23.7027	.MUs.Robot:138	Robot	Transport	Start	.Models.JobShop.Buffer
12529	2019/04/18 07:10:23.7027	.MUs.Robot:138	Robot	Transport	Waiting	.Models.JobShop.Buffer
12530	2019/04/18 07:10:24.2697	.MUs.Console:110	Console	Transport	In progress	.MUs.AGV:3
12531	2019/04/18 07:10:26.4300	.MUs.Console:143	Console	Welding	Complete	.Models.JobShop.Welding.Machine
12532	2019/04/18 07:10:26.4300	.MUs.Console:143	Console	Transport	Start	.Models.JobShop.Welding.Output
12533	2019/04/18 07:10:26.4300	.MUs.Console:143	Console	Transport	Waiting	.Models.JobShop.Welding.Output
12534	2019/04/18 07:10:26.4300	.MUs.Helicopter:127	Helicopter	Welding	In progress	.Models.JobShop.Welding.Machine
12535	2019/04/18 07:10:28.6979	.MUs.Console:132	Console	Transport	Complete	.MUs.AGV:1
12536	2019/04/18 07:10:28.6979	.MUs.Console:132	Console	Painting	Start	.Models.JobShop.Painting.Input
12537	2019/04/18 07:10:28.6979	.MUs.Console:132	Console	Painting	Waiting	.Models.JobShop.Painting.Input
12538	2019/04/18 07:10:34.2697	.MUs.Console:110	Console	Transport	Complete	.MUs.AGV:3
12539	2019/04/18 07:10:34.2697	.MUs.Console:110	Console	Drain	Start	.Models.JobShop.Drain
12540	2019/04/18 07:10:34.2697	.MUs.Console:110	Console	Drain	Complete	.Models.JobShop.Drain
12541	2019/04/18 07:10:34.8944	.MUs.Console:119	Console	Drilling	Complete	.Models.JobShop.Drilling.Machine
12542	2019/04/18 07:10:34.8944	.MUs.Console:119	Console	Transport	Start	.Models.JobShop.Drilling.Output
12543	2019/04/18 07:10:34.8944	.MUs.Console:119	Console	Transport	Waiting	.Models.JobShop.Drilling.Output
12544	2019/04/18 07:10:34.8944	.MUs.Console:120	Console	Drilling	In progress	.Models.JobShop.Drilling.Machine
12545	2019/04/18 07:10:40.0085	.MUs.Helicopter:105	Helicopter	Painting	Complete	.Models.JobShop.Painting.Machine
12546	2019/04/18 07:10:40.0085	.MUs.Helicopter:105	Helicopter	Transport	Start	.Models.JobShop.Painting.Output
12547	2019/04/18 07:10:40.0085	.MUs.Helicopter:105	Helicopter	Transport	Waiting	.Models.JobShop.Painting.Output
12548	2019/04/18 07:10:40.0085	.MUs.Console:132	Console	Painting	In progress	.Models.JobShop.Painting.Machine
12549	2019/04/18 07:10:43.2697	.MUs.Helicopter:106	Helicopter	Transport	Complete	.MUs.AGV:2
12550	2019/04/18 07:10:43.2697	.MUs.Helicopter:106	Helicopter	Painting	Start	.Models.JobShop.Painting.Input
12551	2019/04/18 07:10:43.2697	.MUs.Helicopter:106	Helicopter	Painting	Waiting	.Models.JobShop.Painting.Input
12552	2019/04/18 07:10:44.2697	.MUs.Helicopter:116	Helicopter	Transport	In progress	.MUs.AGV:1
12553	2019/04/18 07:10:47.6979	.MUs.Console:144	Console	Transport	In progress	.MUs.AGV:4
12554	2019/04/18 07:11:04.2702	.MUs.Helicopter:116	Helicopter	Transport	Complete	.MUs.AGV:1
12555	2019/04/18 07:11:04.2702	.MUs.Helicopter:116	Helicopter	Sawing	Start	.Models.JobShop.Sawing.Input
12556	2019/04/18 07:11:04.2702	.MUs.Helicopter:116	Helicopter	Sawing	Waiting	.Models.JobShop.Sawing.Input
12557	2019/04/18 07:11:04.2702	.MUs.Helicopter:116	Helicopter	Sawing	In progress	.Models.JobShop.Sawing.Machine
12558	2019/04/18 07:11:04.8944	.MUs.Console:145	Console	Transport	In progress	.MUs.AGV:3
12559	2019/04/18 07:11:13.8949	.MUs.Robot:121	Robot	Transport	In progress	.MUs.AGV:2
12560	2019/04/18 07:11:23.8949	.MUs.Robot:121	Robot	Transport	Complete	.MUs.AGV:2
12561	2019/04/18 07:11:23.8949	.MUs.Robot:121	Robot	Drilling	Start	.Models.JobShop.Drilling.Input
12562	2019/04/18 07:11:23.8949	.MUs.Robot:121	Robot	Drilling	Waiting	.Models.JobShop.Drilling.Input
12563	2019/04/18 07:11:26.7492	.MUs.Helicopter:116	Helicopter	Sawing	Complete	.Models.JobShop.Sawing.Machine
12564	2019/04/18 07:11:26.7492	.MUs.Helicopter:116	Helicopter	Transport	Start	.Models.JobShop.Sawing.Output
12565	2019/04/18 07:11:26.7492	.MUs.Helicopter:116	Helicopter	Transport	Waiting	.Models.JobShop.Sawing.Output
12566	2019/04/18 07:11:31.9627	.MUs.Console:120	Console	Drilling	Complete	.Models.JobShop.Drilling.Machine
12567	2019/04/18 07:11:31.9627	.MUs.Console:120	Console	Transport	Start	.Models.JobShop.Drilling.Output
12568	2019/04/18 07:11:31.9627	.MUs.Console:120	Console	Transport	Waiting	.Models.JobShop.Drilling.Output
12569	2019/04/18 07:11:31.9627	.MUs.Robot:121	Robot	Drilling	In progress	.Models.JobShop.Drilling.Machine
12570	2019/04/18 07:11:37.6984	.MUs.Console:144	Console	Transport	Complete	.MUs.AGV:4
12571	2019/04/18 07:11:37.6984	.MUs.Console:144	Console	Welding	Start	.Models.JobShop.Welding.Input
12572	2019/04/18 07:11:37.6984	.MUs.Console:144	Console	Welding	Waiting	.Models.JobShop.Welding.Input
12573	2019/04/18 07:11:43.8949	.MUs.Helicopter:97	Helicopter	Transport	In progress	.MUs.AGV:2
12574	2019/04/18 07:11:45.0955	.MUs.Helicopter:143	Helicopter	Arrival	Start	.Models.JobShop.Source
12575	2019/04/18 07:11:45.0955	.MUs.Helicopter:143	Helicopter	Arrival	Complete	.Models.JobShop.Source
12576	2019/04/18 07:11:45.0955	.MUs.Helicopter:143	Helicopter	Transport	Start	.Models.JobShop.Buffer
12577	2019/04/18 07:11:45.0955	.MUs.Helicopter:143	Helicopter	Transport	Waiting	.Models.JobShop.Buffer
12578	2019/04/18 07:11:48.6800	.MUs.Console:132	Console	Painting	Complete	.Models.JobShop.Painting.Machine
12579	2019/04/18 07:11:48.6800	.MUs.Console:132	Console	Transport	Start	.Models.JobShop.Painting.Output
12580	2019/04/18 07:11:48.6800	.MUs.Console:132	Console	Transport	Waiting	.Models.JobShop.Painting.Output
12581	2019/04/18 07:11:48.6800	.MUs.Helicopter:106	Helicopter	Painting	In progress	.Models.JobShop.Painting.Machine
12582	2019/04/18 07:11:51.7234	.MUs.Helicopter:127	Helicopter	Welding	Complete	.Models.JobShop.Welding.Machine
12583	2019/04/18 07:11:51.7234	.MUs.Helicopter:127	Helicopter	Transport	Start	.Models.JobShop.Welding.Output
12584	2019/04/18 07:11:51.7234	.MUs.Helicopter:127	Helicopter	Transport	Waiting	.Models.JobShop.Welding.Output
12585	2019/04/18 07:11:51.7234	.MUs.Helicopter:128	Helicopter	Welding	In progress	.Models.JobShop.Welding.Machine
12586	2019/04/18 07:11:52.8949	.MUs.Console:133	Console	Transport	In progress	.MUs.AGV:1
12587	2019/04/18 07:11:54.8949	.MUs.Console:145	Console	Transport	Complete	.MUs.AGV:3
12588	2019/04/18 07:11:54.8949	.MUs.Console:145	Console	Welding	Start	.Models.JobShop.Welding.Input
12589	2019/04/18 07:11:54.8949	.MUs.Console:145	Console	Welding	Waiting	.Models.JobShop.Welding.Input
12590	2019/04/18 07:11:55.0955	.MUs.Helicopter:130	Helicopter	Transport	In progress	.MUs.AGV:4
12591	2019/04/18 07:12:15.3158	.MUs.Robot:121	Robot	Drilling	Complete	.Models.JobShop.Drilling.Machine
12592	2019/04/18 07:12:15.3158	.MUs.Robot:121	Robot	Transport	Start	.Models.JobShop.Drilling.Output
12593	2019/04/18 07:12:15.3158	.MUs.Robot:121	Robot	Transport	Waiting	.Models.JobShop.Drilling.Output
12594	2019/04/18 07:12:33.8954	.MUs.Helicopter:97	Helicopter	Transport	Complete	.MUs.AGV:2
12595	2019/04/18 07:12:33.8954	.MUs.Helicopter:97	Helicopter	Drain	Start	.Models.JobShop.Drain
